datetime,BTCUSDT
2023-05-23,113616.362431662
2023-05-24,109836.766852745
2023-05-25,110439.09123539273
2023-05-26,111403.2329754933
2023-05-27,112020.3596837663
2023-05-28,116960.27925714265
2023-05-29,115582.76571714605
2023-05-30,115407.61121498756
2023-05-31,113372.65061160264
2023-06-01,111725.71763788961
2023-06-02,113481.02517715252
2023-06-03,112756.53184283701
2023-06-04,112947.9401180451
2023-06-05,107017.3647290381
2023-06-06,113088.94975767443
2023-06-07,109327.76898405318
2023-06-08,109986.86671603718
2023-06-09,109900.49897185028
2023-06-10,107225.90335999291
2023-06-11,107575.29515855256
2023-06-12,107490.78032731214
2023-06-13,107611.29406756526
2023-06-14,104215.31307307188
2023-06-15,106146.08158937051
2023-06-16,109197.2653836388
2023-06-17,109907.82902088211
2023-06-18,109171.65514205075
2023-06-19,111242.4026974073
2023-06-20,117148.12018386352
2023-06-21,123925.09176050342
2023-06-22,123474.04297857419
2023-06-23,126750.30153564928
2023-06-24,126083.29482083613
2023-06-25,125815.49990282388
2023-06-26,125008.90266556412
2023-06-27,126749.73310919419
2023-06-28,124184.06773102848
2023-06-29,125702.00151353108
2023-06-30,125803.89310052707
2023-07-01,126273.25349599773
2023-07-02,126401.70769648511
2023-07-03,128608.2861598017
2023-07-04,126989.55775903622
2023-07-05,125904.7641114663
2023-07-06,123364.16332852091
2023-07-07,125204.29366286779
2023-07-08,124956.19511448224
2023-07-09,124443.84483595243
2023-07-10,125474.61869492194
2023-07-11,126340.24831361455
2023-07-12,125337.42596136605
2023-07-13,129692.77318550933
2023-07-14,124895.50628291589
2023-07-15,124802.80565092676
2023-07-16,124565.53769209191
2023-07-17,124177.66536190144
2023-07-18,123023.28764664714
2023-07-19,123229.45056457938
2023-07-20,122778.6690753142
2023-07-21,123197.0509344423
2023-07-22,122752.43612015952
2023-07-23,123940.44989783554
2023-07-24,120145.1989670083
2023-07-25,120360.82322400768
2023-07-26,120866.46341268152
2023-07-27,120333.34777078277
2023-07-28,120708.9624624573
2023-07-29,120868.46190424898
2023-07-30,120572.40261887791
2023-07-31,120371.12347427742
2023-08-01,122306.2285660819
2023-08-02,120146.39546707727
2023-08-03,120177.80082845346
2023-08-04,119849.4675454851
2023-08-05,119677.02437254392
2023-08-06,119744.06427426451
2023-08-07,120247.85723107017
2023-08-08,122528.70396577715
2023-08-09,121750.70148001237
2023-08-10,121230.02328399688
2023-08-11,121107.64394702825
2023-08-12,121124.68159630794
2023-08-13,120603.63068822783
2023-08-14,121125.5545621247
2023-08-15,120171.39371354492
2023-08-16,118223.52538292382
2023-08-17,109218.59073611828
2023-08-18,106857.32885650436
2023-08-19,107045.86687979886
2023-08-20,107414.27371127674
2023-08-21,107155.28970305184
2023-08-22,106864.02743468418
2023-08-23,108398.01445838362
2023-08-24,107356.85517794569
2023-08-25,106863.47367809604
2023-08-26,106688.47794920564
2023-08-27,107034.01378920265
2023-08-28,107108.74239953651
2023-08-29,113462.5215309181
2023-08-30,111745.17605555637
2023-08-31,106038.3400737439
2023-09-01,105482.05884658832
2023-09-02,105745.22033417539
2023-09-03,106160.11822541778
2023-09-04,105564.97335248407
2023-09-05,105426.23275474294
2023-09-06,105294.73638078757
2023-09-07,107299.07295046898
2023-09-08,105881.85014925917
2023-09-09,105845.51541372864
2023-09-10,105600.04426712278
2023-09-11,102787.8730937068
2023-09-12,105519.14866229324
2023-09-13,107067.24163946052
2023-09-14,108288.16666799957
2023-09-15,108603.1893537511
2023-09-16,108438.40400173703
2023-09-17,108307.02088817532
2023-09-18,109262.25846912117
2023-09-19,111075.14665584861
2023-09-20,110726.55994524776
2023-09-21,108429.50239767497
2023-09-22,108478.71043592569
2023-09-23,108461.64970308199
2023-09-24,107116.42427600126
2023-09-25,107346.461011925
2023-09-26,107006.64032637003
2023-09-27,107622.37924330789
2023-09-28,110236.35401756052
2023-09-29,109768.53458967317
2023-09-30,109995.12404843823
2023-10-01,114118.82813684488
2023-10-02,112070.07912653965
2023-10-03,111792.3574188799
2023-10-04,113218.44996050456
2023-10-05,111707.8077115216
2023-10-06,113809.95503342834
2023-10-07,113914.13737507345
2023-10-08,113752.58454203287
2023-10-09,112412.59323962558
2023-10-10,111594.74967195628
2023-10-11,109478.18457939125
2023-10-12,109005.0826469675
2023-10-13,109421.29020602898
2023-10-14,109382.50399070422
2023-10-15,110604.49333426125
2023-10-16,115957.92403047513
2023-10-17,115530.46432187353
2023-10-18,115221.20638055031
2023-10-19,116812.00107921106
2023-10-20,120635.18414427988
2023-10-21,121610.17073456614
2023-10-22,121945.79423502619
2023-10-23,133857.4847642242
2023-10-24,137265.37137984482
2023-10-25,139565.87497718452
2023-10-26,138165.52251316817
2023-10-27,137111.09775617658
2023-10-28,137873.4979560124
2023-10-29,139661.6390682764
2023-10-30,139454.53684907776
2023-10-31,140120.551086552
2023-11-01,143247.27956760727
2023-11-02,141293.5021377277
2023-11-03,140381.49967492538
2023-11-04,141770.82390890238
2023-11-05,141567.73905729217
2023-11-06,141705.9969239727
2023-11-07,143126.3031986751
2023-11-08,144035.55853031072
2023-11-09,148323.01833113524
2023-11-10,150730.38554210917
2023-11-11,150035.25359561705
2023-11-12,149768.8491037552
2023-11-13,147319.60011241367
2023-11-14,143589.0997753192
2023-11-15,152617.11672794583
2023-11-16,145627.71037796015
2023-11-17,147430.2751151326
2023-11-18,147245.6599299138
2023-11-19,150399.7488955046
2023-11-20,150757.28920020882
2023-11-21,143723.3374260324
2023-11-22,150273.81580166545
2023-11-23,149814.92306805225
2023-11-24,151489.8558487107
2023-11-25,151759.1471748877
2023-11-26,150414.63497817676
2023-11-27,149590.0423487904
2023-11-28,151886.58337585372
2023-11-29,152030.17347738307
2023-11-30,151504.43410489324
2023-12-01,155306.04124970542
2023-12-02,158358.59715015767
2023-12-03,160439.87161642654
2023-12-04,168345.06136641357
2023-12-05,176492.44377394707
2023-12-06,175244.11575071936
2023-12-07,173272.70554852526
2023-12-08,176831.05454569173
2023-12-09,174990.42500413177
2023-12-10,175294.03767559814
2023-12-11,164835.86262806936
2023-12-12,165788.03753270954
2023-12-13,171199.2955612018
2023-12-14,171810.13505118823
2023-12-15,167434.04884787367
2023-12-16,168776.93475983205
2023-12-17,165131.48945298456
2023-12-18,170174.89688009326
2023-12-19,168644.8835588577
2023-12-20,174111.93794987444
2023-12-21,174879.23473398975
2023-12-22,175306.2842408007
2023-12-23,174238.98082409942
2023-12-24,171382.3140789663
2023-12-25,173697.19241378974
2023-12-26,169390.30940998445
2023-12-27,173016.92125995285
2023-12-28,169535.68588418255
2023-12-29,167545.20295823633
2023-12-30,167837.00908553944
2023-12-31,168406.7784966991
